,label,area,bbox_area,convex_area,equivalent_diameter,max_intensity,mean_intensity,min_intensity,perimeter_skimage,perimeter_crofton,solidity,feret_diameter_max,major_axis_length,minor_axis_length,eccentricity,standard_deviation_intensity,aspect_ratio,roundness_skimage,circularity,maximum,mean,median,minimum,sigma,sum,variance,elongation,feret_diameter,flatness,roundness_simpleitk,equivalent_ellipsoid_diameter_0,equivalent_ellipsoid_diameter_1,equivalent_spherical_perimeter,equivalent_spherical_radius,number_of_pixels,number_of_pixels_on_border,perimeter_simpleitk,perimeter_on_border,perimeter_on_border_ratio,filename
0,1,1031,1416,1124,36.23133961947795,6.7,2.4125121241513097,0.0,148.22539674441617,143.20800502198594,0.9172597864768683,59.53990258641679,60.62421847807529,21.98882192124615,0.931903272776764,1.3091073189209594,2.75704713491261,0.3571712369439772,0.5896893527734451,6.7,2.412512124151305,2.3009766340255737,0.0,1.3097426537406673,2487.299999999995,1.715425819027646,2.757047134915704,58.42088667591412,2.757047134915704,0.7948166749532887,21.82037934542641,60.159814357081686,113.82411037826873,18.115669809738975,1031,0,143.20800502198594,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
1,6,2241,3657,2435,53.41656877553537,11.8,4.143418116912093,0.0,205.44469683442247,198.0443517582298,0.9203285420944558,74.32361670424818,76.99104320555824,37.82912921101714,0.8709652901185361,2.2643055480663863,2.035231706658894,0.48136173818323064,0.6672089295930895,11.8,4.1434181169120885,4.273242235183716,0.0,2.264810917015452,9285.39999999999,5.129368489832372,2.0352317066591805,73.06161783043132,2.0352317066591805,0.8473511037066087,37.44286375796644,76.20490350833323,167.81310004519585,26.708284387767684,2241,0,198.04435175822977,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
2,7,895,1209,927,33.757212452126,8.3,3.069832402234637,0.0,115.39696961966999,112.08470449159586,0.9654800431499461,42.5440947723653,41.08505459210686,27.867092709184075,0.7348052946010116,1.7772068584498106,1.474321523987559,0.6750958172250101,0.8445864137535779,8.3,3.0698324022346393,2.8986328840255737,0.0,1.7782005442184963,2747.5000000000023,3.161997175458956,1.4743215239872607,41.23105625617661,1.4743215239872607,0.946172014516224,27.801643750320636,40.988561783323625,106.05141064526892,16.878606226063,895,0,112.08470449159586,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
3,9,122,156,132,12.463355264843006,4.2,1.3778688524590164,0.2,40.55634918610404,41.52404620458589,0.9242424242424242,14.317821063276353,13.506631762877245,11.701396736117717,0.4994468250106268,0.7285188539119908,1.1542751747906692,0.8514827026723281,0.932077420675863,4.2,1.3778688524590166,1.2849609851837158,0.2,0.7315230681168585,168.10000000000002,0.535125999187102,1.1542751747899644,13.038404810405298,1.1542751747899644,0.9429424374059729,11.600595855650456,13.390279808948668,39.15478533911046,6.231677632421503,122,0,41.52404620458589,0.0,0.0,img01_20220429_ET358_56hpf_1.tif
4,4,438,598,458,23.615226456547084,9.0,2.9992389649923896,0.0,78.18376618407356,76.80437534809087,0.9563318777292577,27.85677655436824,26.376049071371344,21.301246942575705,0.5897332612873618,1.8164162638652568,1.2382396740658603,0.8016129875100114,0.9004317508264797,9.0,2.9992389649923905,2.895833373069763,0.0,1.8184933557547005,1313.666666666667,3.3069180849239914,1.2382396740654888,26.570660511172846,1.2382396740654888,0.9659530672895679,21.222168433614854,26.27813092420216,74.18942194874765,11.807613228273542,438,0,76.80437534809087,0.0,0.0,img02_20220429_ET358_56hpf_2.tif
5,10,457,648,495,24.121991458915023,4.777777777777778,1.7345003646973014,0.0,91.59797974644667,89.52184726638035,0.9232323232323232,36.87817782917155,36.93757414600136,15.931044195331408,0.9022102757593576,1.0135195142529518,2.318590902963279,0.42647107285636704,0.6844697728619831,4.777777777777778,1.7345003646973016,1.5625000596046448,0.0,1.0146302209032374,792.6666666666669,1.0294744851701525,2.3185909029571627,35.6931365951495,2.3185909029571627,0.8465137111367748,15.84167486482831,36.730363229196065,75.78147115728316,12.060995729457511,457,0,89.52184726638035,0.0,0.0,img02_20220429_ET358_56hpf_2.tif
6,4,1428,3072,1581,42.64019312669459,2.2222222222222223,1.074910519763461,0.3055555555555556,185.92388155425118,178.94840975774622,0.9032258064516129,75.71657678474378,75.64067559176026,24.692626526780867,0.9452157137161804,0.3271945040892926,3.0632899869814456,0.3177807076475325,0.5191199462945202,2.2222222222222223,1.0749105197634612,1.0375977158546448,0.3055555555555556,0.32730912819653424,1534.9722222222226,0.10713126540077529,3.063289986984119,74.63243262818116,3.063289986984119,0.7485851238120601,24.362682609350955,74.6299616932969,133.9581174744737,21.320096563347295,1428,0,178.94840975774622,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
7,5,2097,2650,2151,51.67188137962113,5.638888888888889,2.78862660944206,0.3611111111111111,173.53910524340094,167.20690555288317,0.9748953974895398,57.42821606144492,54.375630846971085,49.72786410020388,0.4045297895841532,1.0283611952444993,1.0934640333114196,0.903025329042637,0.8750111489809784,5.638888888888889,2.7886266094420606,2.974446654319763,0.3611111111111111,1.0286064811621682,5847.750000000001,1.058031293088818,1.0934640333114871,56.4003546088143,1.0934640333114871,0.9708450880220353,49.414228965731006,54.03268210784554,162.33200293938097,25.835940689810563,2097,0,167.20690555288314,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
8,6,1071,1725,1184,36.92749046999213,2.8333333333333335,1.3456271397447868,0.2777777777777778,167.0538238691624,161.05847326681675,0.9045608108108109,69.58448102845921,73.53527809333717,19.049937647155332,0.9658616370795179,0.43964644383739276,3.8601322196095462,0.25217853135867085,0.48226583079047786,2.8333333333333335,1.3456271397447876,1.3419596552848816,0.2777777777777778,0.4398518381227537,1441.1666666666677,0.1934696394999651,3.8601322196105383,68.59300255857006,3.8601322196105383,0.7203044361649019,18.79527586573804,72.55224994580377,116.01113277603437,18.463745234996065,1071,0,161.05847326681675,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
9,27,957,2337,1033,34.906879612929465,3.4722222222222223,1.6681179612214094,0.2777777777777778,152.75230867899737,147.49978665621398,0.9264278799612778,65.0,69.96686391535191,17.994887605167413,0.9663604379960378,0.6407176712454549,3.8881523158422073,0.24890707425204617,0.5154021621633171,3.4722222222222223,1.6681179612214105,1.6463216543197632,0.2777777777777778,0.641052687044159,1596.3888888888898,0.41094854756653637,3.8881523158368294,63.812224534175265,3.8881523158368294,0.7434803740246804,17.702695258953174,68.83077556765244,109.66319655172254,17.453439806464733,957,0,147.49978665621398,0.0,0.0,img03_20220429_ET358_56hpf_3.tif
